Video ID,Create Time,Duration,Description,Author ID,Author Nickname,Author Unique ID,Digg Count,Follower Count,Following Count,Friend Count,Heart Count,Video Count,Collect Count,Comment Count,Digg Count,Play Count,Share Count,Video URL
7494732331974921494,2025-04-18 19:09:16,52,#အောင်ရဲလင်း #ချစ်လို့ #ရှိန်းမင်း #မချစ်သင့်သော #သိမ်မွေ့သံစဉ် #burmesetvseries #aungyelin #ကိုကြီးရဲ့ရွှေရုပ် #ရောက်ချင်တဲ့နေရာရောက်👌 #foryou ,7304192912383607841,michico,michico6386,1079,75900,11,0,1200000,65,543,168,14300,243800,70,https://www.tiktok.com/@michico6386/video/7494732331974921494
7495369172495453447,2025-04-20 12:20:33,114,#မြန်မာဇာတ်လမ်းတွဲ #အောင်ရဲလင်း #ရဲရင့်သော် #သိမ်မွေ့သံစဉ် #foryoupage ,7360670022367216656,Jue🌸🍀,jue.thet.mon,108,785,0,0,6036,67,13,9,277,5611,7,https://www.tiktok.com/@jue.thet.mon/video/7495369172495453447
7486354377058602258,2025-03-27 05:18:35,70,#မချစ်သင့်သော #အောင်ရဲလင်း #သိမ်မွေ့သံစဉ် #မြန်မာဇာတ်လမ်းတွဲ #foryou #viral #fyp #myanmartiktok🇲🇲🇲🇲 ,7438521074478253064,Old but Gold 1996,oldbutgold303,231,272600,3,0,2900000,206,6790,765,158000,2000000,1738,https://www.tiktok.com/@oldbutgold303/video/7486354377058602258
7494924924255997192,2025-04-19 07:36:38,18,#မချစ်သင့်သော #foryou #fyppppppppppppppppppppppp #forpage #tiktokviews #thinkyoutiktokmyanmar #fyp #1mviews #ရောက်ချင်တဲ့နေရာရောက်👌 ,7338688254202889221,10M(Dex),an.dexlyrics1,129,98100,5,0,2300000,221,851,178,26700,423000,134,https://www.tiktok.com/@an.dexlyrics1/video/7494924924255997192
7495667138494041366,2025-04-21 07:36:55,66,#အောင်ရဲလင်း #ချစ်လို့ #ရှိန်းမင်း #မချစ်သင့်သော #သိမ်မွေ့သံစဉ် #burmesetvseries #burmesetvseries #ကိုကြီးရဲ့ရွှေရုပ် #ရောက်ချင်တဲ့နေရာရောက်👌 #foryou ,7304192912383607841,michico,michico6386,1079,75900,11,0,1200000,65,160,30,5212,67400,109,https://www.tiktok.com/@michico6386/video/7495667138494041366
7495349668855942418,2025-04-20 11:04:53,123,#မချစ်သင့်သော#အောင်ရဲလင်း #ရဲရင့်သော် #သိမ်မွေ့သံစဉ် #foryoupage ,7360670022367216656,Jue🌸🍀,jue.thet.mon,108,785,0,0,6036,67,98,21,3526,29800,15,https://www.tiktok.com/@jue.thet.mon/video/7495349668855942418
7494924335388396818,2025-04-19 07:34:21,38,#မချစ်သင့်သော #foryou #fyppppppppppppppppppppppp #forpage #tiktokviews #thinkyoutiktokmyanmar #fyp #1mviews #ရောက်ချင်တဲ့နေရာရောက်👌 ,7338688254202889221,10M(Dex),an.dexlyrics1,129,98100,5,0,2300000,221,456,63,14200,220100,21,https://www.tiktok.com/@an.dexlyrics1/video/7494924335388396818
7494913154133150994,2025-04-19 06:51:02,62,#မချစ်သင့်သော #foryou #fyppppppppppppppppppppppp #forpage #tiktokviews #thinkyoutiktokmyanmar #fyp #1mviews #ရောက်ချင်တဲ့နေရာရောက်👌 ,7338688254202889221,10M(Dex),an.dexlyrics1,129,98100,5,0,2300000,221,105,59,2226,48200,8,https://www.tiktok.com/@an.dexlyrics1/video/7494913154133150994
7482419418274942226,2025-03-16 14:48:54,242,#အပိုင်း၂၀#မချစ်သင့်သော #အောင်ရဲလင်း #သိမ်မွေ့သံစဉ် #လင်းလင်း #မြန်မာဇာတ်ကားကောင်းများ #foryoupage #tiktok ,7467772588032787462,Cele Poe,cele.poe,626,231700,0,0,4800000,411,987,298,19900,295000,88,https://www.tiktok.com/@cele.poe/video/7482419418274942226
7484207582815587592,2025-03-21 10:27:52,16,life with YOU!!🤍 #မချစ်သင့်သော #သိမ်မွေ့သံစဉ် #fyp ,7081252392054948870,Thein Mwave Than Sin,mvvavez,12600,58600,0,0,417200,6,5255,1240,242200,2200000,1265,https://www.tiktok.com/@mvvavez/video/7484207582815587592
7489539601254731030,2025-04-04 19:18:50,17,ဒီတပတ် #မချစ်သင့်သော episode အသစ်မထွက်လို့ ပျင်းတာနဲ့ edit လုပ်တင်တာ။ #မချစ်သင့်သော #aungyelin #ရှိန်းမင်း #သိမ်မွေ့သံစဉ် #ကိုကြီးရဲ့ရွှေရုပ် #foryou #burmesetvseries #myanmar ,7304192912383607841,michico,michico6386,1079,75900,11,0,1200000,65,2109,234,60800,1100000,754,https://www.tiktok.com/@michico6386/video/7489539601254731030
7480816170577251591,2025-03-12 07:07:27,62,#မချစ်သင့်သော #အောင်ရဲလင်း ,7480727432263681040,user6863675099751,user6863675099751,3,243000,0,0,4600000,47,1587,547,61100,940900,202,https://www.tiktok.com/@user6863675099751/video/7480816170577251591
7492230550820850962,2025-04-12 01:21:08,15,#မချစ်သင့်သော #myanmar #tiktok #fppppppppppppppppppp #fpyシ #foryoupage #သိမ်မွေ့သံစဉ် #ရဲရင်သော် #အောင်ရဲလင်း #foryou ,7486722086355665936,မချစ်သင့်သော,tayni441,6,162500,2,0,2800000,168,2415,100,54300,893800,226,https://www.tiktok.com/@tayni441/video/7492230550820850962
7381048132383018256,2024-06-16 10:36:38,59,#redflag#မချစ်သင့်သော#aungyelin#သိမ်မွေ့သံစဉ်#အောင်ရဲလင်း ဇာတ်ဝင်ခန်းလေးပါ ,7132477162825532442,Shwe Phoo Sar,shwephoosar2015,54,8607,88,0,80500,268,698,262,17000,446900,166,https://www.tiktok.com/@shwephoosar2015/video/7381048132383018256
7495705475250408722,2025-04-21 10:05:34,33,ဇေခက်🤍ရွှေရုပ် ဘာလိုလိုနဲ့အပိုင်း၁၈ရောက်လာပါပြီနော်🤭☺ #မချစ်သင့်သော  #ရဲရင့်သော်  #yeyintthaw  #သိမ်မွေ့သံစဉ် ,6753477110163440641,Kri Szz Ginn Gar,kriszzginngar,5230,4120,123,0,93300,20,17,7,563,8943,4,https://www.tiktok.com/@kriszzginngar/video/7495705475250408722
7494714110727245064,2025-04-18 17:58:34,82,#မချစ်သင့်သော #foryou #fyppppppppppppppppppppppp #forpage #tiktokviews #fyp #thinkyoutiktokmyanmar #1mviews #ရောက်ချင်တဲ့နေရာရောက်👌 ,7338688254202889221,10M(Dex),an.dexlyrics1,129,98100,5,0,2300000,221,365,77,8614,118300,42,https://www.tiktok.com/@an.dexlyrics1/video/7494714110727245064
7485017731662744839,2025-03-23 14:51:41,29,မချစ်သင့်သော 🥀🥹#for_you ,7150042216656110593,Khun Sai  Ti ha,userjq86p9z07d,22100,2409,9787,0,3395,12,55,86,1793,98400,23,https://www.tiktok.com/@userjq86p9z07d/video/7485017731662744839
7485224033898761490,2025-03-24 04:12:16,15,#ရွှေရုပ် #theinmwavethansin #သိမ်မွေ့သံစဥ် #foryou #ရောက်ချင်တဲ့နေရာရောက်👌 #မချစ်သင့်သော #foryoupage #fpyシ #fppppppppppppppppppp #ငယ်ငယ်တုန်းကနဲ့ခုနဲ့ဘာကွာလဲ😎😎😁😁 ,7483897751471522834,Thein Mwave Than Sin,theinmwavethansin,18,224100,2,0,2500000,47,339,83,12100,264900,97,https://www.tiktok.com/@theinmwavethansin/video/7485224033898761490
